sentence,label
pig ,0
you watch them clumsily mugging their way through snow dogs ,0
horrible poetry ,0
exceeds expectations . ,1
"beneath the film 's obvious determination to shock at any cost lies considerable skill and determination , backed by sheer nerve . ",1
comes off as a two-way time-switching myopic mystery that stalls in its lackluster gear of emotional blandness . ,0
"funny , and even touching ",1
"too goodly , wise and knowing or downright comically evil ",1
"does n't really believe in it , ",0
"it 's hard to imagine any recent film , independent or otherwise , that makes as much of a mess as this one . ",0
in an art film ! ,1
eerily convincing as this bland blank of a man with unimaginable demons ,0
writer-director juan carlos fresnadillo makes a feature debut that is fully formed and remarkably assured . ,1
most intense ,1
"is so different from the apple and so striking that it can only encourage us to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success . ",1
offensive ,0
make love a joy to behold . ,1
a remarkably alluring film ,1
too many scenarios in which the hero might have an opportunity to triumphantly sermonize ,0
"when a woman 's life , out of a deep-seated , emotional need , is about to turn onto a different path ",1
you will probably like it . ,1
"also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes ",1
to grow boring ... which proves that rohmer still has a sense of his audience ,1
a travesty ,0
the finish line ,1
negativity ,0
gave people seizures ,0
even if the naipaul original remains the real masterpiece ,1
self-discovery ,1
rent those movies instead ,0
if it 's filmed tosca that you want ,1
"the structure is simple , but in its own way , rabbit-proof fence is a quest story as grand as the lord of the rings ",1
"work as shallow entertainment , ",0
a loquacious and dreary piece of business . ,0
warped logic ,0
"it 's the perfect star vehicle for grant , allowing him to finally move away from his usual bumbling , tongue-tied screen persona . ",1
"has a caffeinated , sloppy brilliance , sparkling with ideas you wish had been developed with more care , but ",1
in addition to sporting one of the worst titles in recent cinematic history ,0
"features terrible , banal dialogue ; convenient , hole-ridden plotting ; superficial characters and a rather dull , unimaginative car chase ",0
"there 's no real sense of suspense , ",0
simultaneously harrowing and uplifting ,1
"insipid , brutally clueless film ",0
"fits into a classic genre , in its script and execution ",1
gondry 's direction is adequate ,1
worn-out ,0
probes in a light-hearted way the romantic problems of individuals ,1
might sit through this summer that do not involve a dentist drill ,0
"unpretentious , charming , quirky , original ",1
exceedingly memorable one for most people ,1
is it possible for a documentary to be utterly entranced by its subject and still show virtually no understanding of it ? ,0
the narration helps little ,0
the film does n't manage to hit all of its marks ,0
"improved upon the first and taken it a step further , richer and deeper ",1
thanks to remarkable performances ,1
the powder blues and sun-splashed whites of tunis make an alluring backdrop for this sensuous and spirited tale of a prim widow who finds an unlikely release in belly-dancing clubs . ,1
manages to accomplish what few sequels can -- it equals the original and in some ways even betters it ,1
a bad idea from frame one ,0
are quite admirable ,1
the occasional bursts ,1
"is a smart movie that knows its classical music , knows its freud and knows its sade . ",1
"a pastiche of children 's entertainment , superhero comics , and japanese animation ",1
you feel fully embraced by this gentle comedy ,1
has some problems ,0
is fully formed and remarkably assured ,1
if invincible is not quite the career peak that the pianist is for roman polanski ,1
resurrecting performers who rarely work in movies now ... and drawing flavorful performances from bland actors ,1
one not-so-small problem ,0
directed and convincingly acted . ,1
's nice ,1
piercingly affecting ,1
oodles of charm ,1
"'s good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart . ",1
"unlike many revenge fantasies , it ultimately delivers ",1
best disney movie ,1
"brings a youthful , out-to-change-the-world aggressiveness ",1
a therapeutic zap of shock treatment ,1
a brutal and funny ,1
pubescent ,1
take place indoors in formal settings with motionless characters . ,0
still has enough moments to keep it entertaining . ,1
"that will be best appreciated by those willing to endure its extremely languorous rhythms , waiting for happiness ",0
storytelling ability ,1
genuine quirkiness ,1
sickly entertainment at best and mind-destroying cinematic pollution ,0
that it 's not clear whether we 're supposed to shriek ,0
", the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn . ",1
pinochet ,0
"if divine secrets of the ya-ya sisterhood suffers from a ploddingly melodramatic structure , it comes to life in the performances . ",0
cheesier ,0
"it may not be a great piece of filmmaking , but its power comes from its soul 's - eye view of how well-meaning patronizing masked a social injustice , at least as represented by this case ",0
comprehend it ,1
is a stunning new young talent in one of chabrol 's most intense psychological mysteries ,1
well enough ,1
do the subject matter justice ,1
love in remembrance . ,1
deny its seriousness and quality ,0
"a heartbreakingly thoughtful minor classic , the work of a genuine and singular artist ",1
wazoo and sets ,0
figures out how to make us share their enthusiasm . ,1
"'ve reeked of a been-there , done-that sameness ",0
degenerates into hogwash ,0
"do n't feel the least bit ashamed in admitting that my enjoyment came at the expense of seeing justice served , even if it 's a dish that 's best served cold ",1
a high water mark for this genre ,1
"the cleverness , the weirdness and ",1
juicy writer ,1
"begins with promise , but runs ",0
amateurish ,0
", visually graceful ",1
this one is not nearly as dreadful as expected . ,1
porno flick ,0
oft-brilliant safe conduct ( `` laissez-passer '' ) ,1
impossible spot ,0
of contemporary chinese life this exciting new filmmaker has brought to the screen ,1
into some univac-like script machine ,0
"a technically superb film , ",1
"is completely lacking in charm and charisma , ",0
"time for an absurd finale of twisted metal , fireballs and revenge ",0
welcome step ,1
a great film ,1
one film that 's truly deserving of its oscar nomination ,1
a cruelly funny twist on teen comedy packed with inventive cinematic tricks and an ironically killer soundtrack ,1
"are the whole show here , with their memorable and resourceful performances . ",1
"the incessant , so-five-minutes-ago pop music ",0
"the plot of the comeback curlers is n't very interesting actually , but what i like about men with brooms and what is kind of special is how the film knows what 's unique and quirky about canadians . ",1
", it must be said that he is an imaginative filmmaker who can see the forest for the trees . ",1
racial insensitivity ,0
they cheapen the overall effect . ,0
a thriller without thrills and a mystery devoid ,0
"puts a human face on derrida , and makes one of the great minds of our times interesting and accessible to people who normally could n't care less . ",1
as tricky and satisfying as any of david mamet 's airless cinematic shell games . ,1
"time stands still in more ways that one in clockstoppers , a sci-fi thriller as lazy as it is interminable . ",0
"intense , claustrophobic ",0
cute frissons ,1
the incredible imax sound system ,1
far too much ,0
"much of it is funny , but there are also some startling , surrealistic moments ... ",1
", in an irresistible junior-high way , ",1
a moving tragedy with some buoyant human moments ,1
to put up with 146 minutes of it ,0
would ever work in a mcculloch production again if they looked at how this movie turned out ,0
"audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching , ",0
feels like a spectator and not a participant ,0
the extent to which it succeeds is impressive . ,1
insomnia is one of the year 's best films ,1
somewhat tired ,0
an intriguing story ,1
sink this ` sub ' ,0
though few will argue that it ranks with the best of herzog 's works ,1
all the way to the credits ,1
"a rather dull , unimaginative car chase ",0
even dies . ,0
under its own meager weight ,0
"its courageousness , and ",1
with exquisite craftsmanship ,1
of the worst movies of one year ,0
in treading the line between sappy and sanguine ,0
is not only a love song to the movies ,1
after drinking twelve beers ,0
several cliched movie structures ,0
unfolds with grace and humor and gradually ,1
the dead horse of surprise ,0
that was n't all that great to begin with ,0
"insightfully written , delicately performed ",1
"terrible , banal dialogue ; convenient , hole-ridden plotting ; superficial characters and ",0
... its solemn pretension prevents us from sharing the awe in which it holds itself . ,0
drab wannabe ,0
"amid the shock and curiosity factors , the film is just a corny examination of a young actress trying to find her way . ",0
are universal and involving ,1
make the stones weep -- ,1
jell into charm ,1
those prone to indignation need not apply ; ,0
"discovered , indulged in and rejected as boring before i see this piece of crap again ",0
's all surface psychodramatics ,0
"random , superficial humor ",0
"romantic , riveting and handsomely animated . ",1
will cause loads of irreparable damage that years and years of costly analysis could never fix ,0
seem genuine rather than pandering ,1
overblown enterprise ,0
crafty and intelligent ,1
's too harsh ,0
are not to be dismissed . ,1
devoid of objectivity and full of nostalgic comments from the now middle-aged participants ,0
the bottom of the pool with an utterly incompetent conclusion ,0
doze off for a few minutes or ,0
warm your heart ,1
preposterousness ,0
the old disease-of-the-week small-screen melodramas ,0
bad and baffling ,0
the film gives no quarter to anyone seeking to pull a cohesive story out of its 2 1/2 - hour running time . ,0
satisfying evening ,1
it transcends the normal divisions between fiction and nonfiction film ,1
"you can watch , giggle and get an adrenaline boost without feeling like you 've completely lowered your entertainment standards . ",1
"this sensitive , smart , savvy , compelling coming-of-age drama delves into the passive-aggressive psychology of co-dependence and the struggle for self-esteem . ",1
so much like a young robert deniro ,1
aggravating and tedious . ,0
spiffy bluescreen technique and ,1
"has a fluid , no-nonsense authority ",1
are as subtle and as enigmatic ,1
he 's afraid of his best-known creation ,0
"civil disobedience , anti-war movements and the power of strong voices ",1
as an eloquent memorial ,1
its own staggeringly unoriginal terms ,0
"all the pieces fall together without much surprise , but ",1
"time , death ",0
tiresome jargon ,0
"brown played in american culture as an athlete , a movie star , and an image of black indomitability ",1
unflattering ,0
( depending upon where you live ) ,1
read my lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love . ,1
", eisenstein delivers . ",1
a good cast ,1
murphy do the genial-rogue shtick to death ,0
tedious ,0
you 're an absolute raving star wars junkie ,0
a soulless hunk of exploitative garbage ,0
an uneasy mix ,0
the terrifying message ,0
of animal house ,1
is not the director at his most sparkling ,0
more than a widget cranked out on an assembly line to see if stupid americans will get a kick out of goofy brits with cute accents performing ages-old slapstick and unfunny tricks . ,0
plainly dull ,0
the film has a terrific look and salma hayek has a feel for the character at all stages of her life . ,1
were stripped of most of his budget and all of his sense of humor ,0
the lack of naturalness makes everything seem self-consciously poetic and forced ,0
sometimes hilarious ) ,1
"sounds , but strikes a tone that 's alternately melancholic , hopeful and strangely funny ",1
the animated sequences are well done and perfectly constructed to convey a sense of childhood imagination and creating adventure out of angst ,1
fest of self-congratulation between actor and director that leaves scant place for the viewer ,0
is full of charm ,1
", deeply absorbing piece ",1
a part of its fun ,1
", still manages at least a decent attempt at meaningful cinema ",1
lethargically ,0
providing some good old fashioned spooks ,1
the sick sense ,0
low-budget hybrid ,0
irresistibly than in ` baran ,1
is reasonably entertaining ,1
"is the kind of movie during which you want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness . ",0
"the story is lacking any real emotional impact , ",0
does have its charms ,1
"it 's packed with adventure and a worthwhile environmental message , so it 's great for the kids ",1
as daring as john ritter 's glory days ,1
's a masterpiece ,1
the wonderful cinematography and ,1
a movie about the power of poetry and passion ,1
the richness of characterization that makes his films so memorable ,1
"like its title character , this nicholas nickleby finds itself in reduced circumstances -- and , also like its hero , it remains brightly optimistic , coming through in the end . ",1
of the populace that made a walk to remember a niche hit ,1
hate myself ,0
"like the excruciating end of days , collateral damage presents schwarzenegger as a tragic figure , but sympathy really belongs with any viewer forced to watch him try out so many complicated facial expressions . ",0
mugging their way through snow dogs ,0
a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world ,1
on the delicious pulpiness of its lurid fiction ,1
"reign of fire never comes close to recovering from its demented premise , but it does sustain an enjoyable level of ridiculousness . ",0
help this movie one bit ,0
"the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run ",0
director jon purdy 's sledgehammer sap ,0
is n't as funny ,0
"kitschy , flashy , overlong soap opera . ",0
certain charm ,1
an impressive roster of stars and direction ,1
their enthusiasm ,1
"donovan ... squanders his main asset , jackie chan , and fumbles the vital action sequences ",0
ugly and ,0
the punch lines ,1
"there 's no conversion effort , much of the writing is genuinely witty ",1
inclination to make the most sincere and artful movie in which adam sandler will probably ever appear ,1
"stops being clever and devolves into flashy , vaguely silly overkill . ",0
with remarkable serenity and discipline ,1
what makes it transporting is that it 's also one of the smartest ,1
"common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha . ",0
"like the original , this version is raised a few notches above kiddie fantasy pablum by allen 's astringent wit . ",1
"it 's one of the most beautiful , evocative works i 've seen . ",1
"stuffy , full of itself ",0
"is visually ravishing , penetrating , impenetrable . ",1
is exactly how genteel and unsurprising the execution turns out to be ,0
how its makers actually seem to understand what made allen 's romantic comedies so pertinent and enduring ,1
"a brazil-like , hyper-real satire ",0
old-fashioned adventure ,1
no quarter ,0
ambitious comic escapade ,1
a truly magical movie ,1
"deflated ending aside , there 's much to recommend the film . ",1
"a bizarre piece of work , with premise and dialogue at the level of kids ' television and plot threads ",0
the movie is ... very funny as you peek at it through the fingers in front of your eyes . ,1
is so different from the apple and so striking ,1
depraved ,0
in the form of dazzling pop entertainment ,1
this ambitious comic escapade ,1
probably one of the best since the last waltz ,1
a pretentious mess ... ,0
"it deserved all the hearts it won -- and wins still , 20 years later . ",1
exuberance ,1
of slapstick sequences ,1
"what makes salton sea surprisingly engrossing is that caruso takes an atypically hypnotic approach to a world that 's often handled in fast-edit , hopped-up fashion . ",1
is n't going to make box office money that makes michael jordan jealous ,0
notable for its sheer audacity and openness ,1
ridiculous wig ,0
"that sense of openness , the little surprises ",1
of balto ,1
could have -- should have -- been allowed to stand on their own ,0
"sandler does n't understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself . ",0
credible account ,1
told a nice little story in the process ,1
", this is even better than the fellowship . ",1
cheapen the overall effect . ,0
entertaining comedy ,1
is the awkwardly paced soap opera-ish story . ,0
"begin to tell you how tedious , how resolutely unamusing , how thoroughly unrewarding all of this is , and what a reckless squandering of four fine acting talents ",0
behavior and severe flaws ,0
it 's as good as you remember . ,1
